Affiliations_2016_to_2021,Record_Count
Harvard University,336
Harvard Medical School,236
National Institutes Of Health Nih Usa,225
Johns Hopkins University,207
University Of Pennsylvania,168
Institut National De La Sante Et De La Recherche Medicale Inserm,138
University Of Michigan,123
Pennsylvania Commonwealth System Of Higher Education Pcshe,114
Columbia University,113
University Of California San Francisco,113
Us Department Of Veterans Affairs,113
Veterans Health Administration Vha,109
Brigham Women S Hospital,104
Yale University,104
Massachusetts General Hospital,102
Howard Hughes Medical Institute,100
Washington University WUSTL,98
Duke University,95
University Of London,94
University Of California San Diego,93
University Of Washington,93
University Of Washington Seattle,93
University Of Pittsburgh,90
Baylor College Of Medicine,88
Stanford University,86
Vanderbilt University,86
University Of North Carolina,84
Cornell University,83
Centre National De La Recherche Scientifique,80
University Of North Carolina Chapel Hill,78
Assistance Publique Hopitaux Paris Aphp,76
Helmholtz Association,76
NIH National Cancer Institute,72
Johns Hopkins Medicine,71
Universite De Paris,69
Dana Farber Cancer Institute,68
Nih National Institute Of Allergy Infectious Diseases Niaid,68
Northwestern University,68
Utmd Anderson Cancer Center,68
University Of Texas Southwestern Medical Center Dallas,67
Massachusetts Institute Of Technology Mit,65
Mayo Clinic,65
Boston Children S Hospital,64
University Of Toronto,63
University Of California Los Angeles,62
Icahn School Of Medicine At Mount Sinai,60
Ohio State University,56
Emory University,54
Memorial Sloan Kettering Cancer Center,54
Chinese Academy Of Sciences,52
Cnrs National Institute For Biology Insb,52
Feinberg School Of Medicine,51
University Of Iowa,51
Beth Israel Deaconess Medical Center,50
University Of Oxford,49
Karolinska Institutet,47
University Of Colorado Anschutz Medical Campus,47
University College London,46
New York University,45
Case Western Reserve University,44
Imperial College London,44
University Of Chicago,43
Fred Hutchinson Cancer Center,42
State University System Of Florida,42
Shanghai Jiao Tong University,40
Sorbonne Universite,40
Max Planck Society,39
David Geffen School Of Medicine At Ucla,38
Mcgill University,38
University Of Alabama Birmingham,38
Broad Institute,37
Childrens Hospital Of Philadelphia,37
Indiana University Bloomington,37
Sun Yat Sen University,37
University Of Minnesota Twin Cities,37
Ruprecht Karls University Heidelberg,36
Rutgers State University New Brunswick,36
University Of North Carolina School Of Medicine,36
Cleveland Clinic Foundation,35
Fudan University,35
German Cancer Research Center Dkfz,35
Johns Hopkins Bloomberg School Of Public Health,35
Newyork Presbyterian Hospital,35
Technical University Of Munich,35
University System Of Maryland,35
University Of Maryland Baltimore,34
Cedars Sinai Medical Center,33
Cincinnati Children S Hospital Medical Center,33
Nih National Institute Of Diabetes Digestive Kidney Diseases Niddk,33
University Of Munich,33
University Of Texas Health Science Center Houston,33
University System Of Georgia,33
Charite Universitatsmedizin Berlin,32
Free University Of Berlin,32
Humboldt University Of Berlin,32
University Of Cambridge,32
Monash University,31
Boston University,30
National University Of Singapore,30
University Health Network Toronto,30
University Of Melbourne,30
University Of Virginia,30
University Of Erlangen Nuremberg,29
University Of Tokyo,29
University Of Utah,29
University Of Zurich,29
Hopital Universitaire Necker Enfants Malades Aphp,28
KU Leuven,28
Ciber Centro De Investigacion Biomedica En Red,27
Kyoto University,27
Rutgers State University Medical Center,27
Universite De Montreal,27
University Of Cincinnati,27
King S College London,26
Rockefeller University,26
University Of Hamburg,26
University Of Lausanne,26
Yeshiva University,26
Goethe University Frankfurt,25
St Jude Children S Research Hospital,25
Unicancer,25
