Affiliations_2016_to_2021,Record_Count
Univ Texas Grad Sch Biomed Sci,1
Univ Texas Southwestern Utsw Med Ctr,1
Univ Virginia Uva,1
Univ Washington South Lake Union,1
Univ Wdswatersrand,1
Univ West London,1
Univ Womens Clin,1
Univ Zurich,1
Universidad De Alcala,1
Universidad De Cantabria,1
Universidad De Concepcion,1
Universidad De Leon,1
Universidad De Magallanes,1
Universidad De Malaga,1
Universidad Francisco De Vitoria,1
Universidad Miguel Hernandez De Elche,1
Universidad Pablo De Olavide,1
Universidad Peruana Cayetano Heredia,1
Universidade Do Minho,1
Universidade Federal De Santa Catarina Ufsc,1
Universidade Federal Fluminense,1
Universidade Paulista,1
Universidade Presbiteriana Mackenzie,1
Universita Degli Studi Di Bari Aldo Moro,1
Universita Di Modena E Reggio Emilia,1
Universitat Internacional De Catalunya Uic,1
Universitats Herzzentrum Freiburg,1
Universite Bourgogne Franche Comte Comue,1
Universite Catholique De Lille,1
Universite Clermont Auvergne Associes,1
Universite Clermont Auvergne Uca,1
Universite Confederale Leonard De Vinci,1
Universite D Evry Val D Essonne,1
Universite De Poitiers,1
Universite De Reims Champagne Ardenne,1
Universite De Tours,1
Universite De Tunis El Manar,1
Universite Jean Monnet,1
Universiti Sains Malaysia,1
University College Cork,1
University College London Hospitals Nhs Foundation Trust,1
University Hohenheim,1
University Hospital Attikon,1
University Hospital Brussels,1
University Hospital Of Parma,1
University Hospital Southampton Nhs Foundation Trust,1
University Hospitals Of Leicester Nhs Trust,1
University North Carolina Hospital,1
University Of Agricultural Sciences Bangalore,1
University Of Alabama Tuscaloosa,1
University Of Belgrade,1
University Of Bielefeld,1
University Of Calabria,1
University Of California Riverside,1
University Of Catania,1
University Of Central Florida,1
University Of East Anglia,1
University Of Electronic Science Technology Of China,1
University Of Hawaii Manoa,1
University Of Health Science Pakistan,1
University Of Health Sciences Turkey,1
University Of Iceland,1
University Of Insubria,1
University Of Ljubljana,1
University Of London Royal Veterinary College,1
University Of London School Of Pharmacy,1
University Of Massachusetts Boston,1
University Of Miyazaki,1
University Of Mosul,1
University Of Murcia,1
University Of Nairobi,1
University Of Newcastle,1
University Of North Carolina Charlotte,1
University Of Occupational Environmental Health Japan,1
University Of Plymouth,1
University Of Quebec,1
University Of Quebec Montreal,1
University Of Rhode Island,1
University Of Rome Tor Vergata,1
University Of Ryukyus,1
University Of Seoul,1
University Of Shizuoka,1
University Of South Alabama,1
University Of Stuttgart,1
University Of Surrey,1
University Of Tartu,1
University Of Texas At San Antonio Utsa,1
University Of Texas Health Sciences Center At Tyler Uthsct,1
University Of Texas Rio Grande Valley,1
University Of Texas School Public Health,1
University Of Toledo,1
University Of Tras Os Montes Alto Douro,1
University Of Trieste,1
University Of Tuzla,1
University Of Veterinary Medicine Budapest,1
University Of Veterinary Medicine Hannover Foundation,1
University Of Warsaw,1
University Of Westminster,1
University Of Witwatersrand,1
University Of Zagreb,1
University Sri Jayewardenepura,1
University Toronto Mississauga,1
University Town Of Shenzhen,1
Uoc Nefrol,1
Upmc Enterprises,1
Upmc Hillman Canc Ctr Pittsburgh,1
Upmc Oman Canc Ctr,1
Upmc Presbyterian,1
Ural Federal University,1
Us Army,1
Us Navy,1
Usd,1
Uss Ctr Terapia Cellulare G Lanzani,1
Uw Med Diabet Inst,1
Va Healthcare,1
Va Long Beach Healthcare System,1
Va Maryland Healthcare Syst,1
Va Med Ctr,1
Va New York Harbor Healthcare Syst,1
Va North Texas Health Care System,1
Va Northern Calif Hlth Care Syst,1
Va Pittsburgh Healthcare System,1
Va Portland Health Care System,1
Vaasa Central Hospital,1
Vaccine Res Ctr,1
Vagelos Coll Phys Surg,1
Vancouver Prostate Ctr,1
Vanderbilt Vaccine Ctr,1
Vaxconsult,1
Vector Inst,1
Verily Life Sci,1
Verily Life Sci Alphabet,1
Vet Adm Connecticut Healthcare Syst,1
Vet Adm Hosp,1
Vet Adm North Texas Heath Care Syst,1
Vet Affairs Healthcare Syst,1
Vet Affairs St Louis Healthcare Syst,1
Vet Anaesthesia Serv Int,1
Victor Chang Cardiac Research Institute,1
Victoria University Wellington,1
Victorian Comprehens Canc Ctr,1
Victorian Infectious Diseases Reference Laboratory,1
Vifor Int Ltd,1
Vitalant,1
Vitalant Northeast Div,1
Vitalant Research Institute,1
Viva Biotech Ltd,1
Voyager Therapeut Inc,1
Vumc,1
Wadsworth Center,1
Wakayama Medical University,1
Waldkrankenhaus Rudolph Elle Eisenberg,1
Walton Centre,1
Wannan Medical College,1
Washington Dc Va Med Ctr,1
Wasit University,1
Waters Corporation,1
Wcct Global,1
Webb Law Firm,1
Weh,1
Weill Cornell Rockefeller Mem Sloan Kettering Tri,1
Weill Greenberg Ctr,1
Weill Med Med,1
Wellcome Trust Canc Res Uk Gurdon Inst,1
Wellcome Trust Sanger Inst Hinxton,1
Wellcomet Gmbh,1
Wellspring Biosci Inc,1
Western Hlth,1
Western Infirm Associated Hosp,1
Western Michigan University,1
Western Psychiatric Institute Clinic Of Upmc,1
Westmead Institute For Medical Research,1
Whitman Walker Hlth,1
William S Middleton Memorial Veterans Hospital,1
William T Shearer Texas Childrens Hosp,1
Winship Canc Inst,1
Wisconsin Inst Med Res,1
Wisconsin Natl Primate Res Ctr,1
Witten Herdecke Univ,1
Womans Hosp,1
Wonkwang University,1
Wuhan 9 Hosp,1
Wuhan Inst Biotechnol,1
Wuhan Institute Of Physics Mathematics Cas,1
Wuhan Institute Of Virology Cas,1
Wuhan Jinyintan Hospital,1
Wuhan University Of Science Technology,1
Wuxi Nextcode,1
Wythenshawe Hospital Nhs Foundation Trust,1
Xencor Inc,1
Xenon Pharmaceut,1
Xi An Jiaotong Liverpool University,1
Xinhua Hosp,1
Xinxiang Medical University,1
Yale Cardiovasc Res Ctr,1
Yale Cardiovasc Res Ctr Ycvrc,1
Yale Sch Engn Appl Sci,1
Yamaguchi University,1
Yanbian University,1
Yangjiang Peoples Hosp,1
Yeditepe University,1
Yerkes Natl Primate Ctr,1
Yixing Peoples Hosp,1
Yokkaichi Nursing Med Care Univ,1
Yunnan Infect Dis Hosp,1
Yx Genom,1
Zhangjiang Lab,1
Zhejiang Hosp,1
Ziopharm,1
Ziopharm Oncol,1
Ziopharm Oncol Inc,1
