,Affiliations_2016_to_2021,Record_Count,longitude,latitude
0,Harvard University,336,-71.1267824,42.3679086
1,Harvard Medical School,236,-71.1037122,42.33685
2,National Institutes Of Health Nih Usa,225,-77.1045422,39.0016448
3,Johns Hopkins University,207,-76.6218536,39.3302022
4,University Of Pennsylvania,168,-75.189644,39.9493382
5,University Of Michigan,123,-83.7100389,42.2942142
6,Columbia University,113,-73.9616406,40.8077627
7,University Of California San Francisco,113,-122.4582741,37.7627382
8,Us Department Of Veterans Affairs,113,-91.6511111,41.9884973
9,Brigham Women S Hospital,104,-8.43056,52.47306
10,Yale University,104,-72.9896696,41.2571305
11,Massachusetts General Hospital,102,-71.068753,42.3628604
12,Duke University,95,-78.9442297,36.0001557
13,University Of London,94,-0.128343,51.5220869
14,University Of California San Diego,93,-117.2311005,32.8793526
15,University Of Washington,93,-122.3080089,47.6543238
16,University Of Washington Seattle,93,-122.3080089,47.6543238
17,University Of Pittsburgh,90,-79.962461,40.444153
18,Baylor College Of Medicine,88,-95.3958003,29.7104775
19,Stanford University,86,-122.1693654,37.4313138
20,Vanderbilt University,86,-86.8028189,36.1438011
21,University Of North Carolina,84,-79.0477533,35.9050353
22,Cornell University,83,-76.4783992,42.4505932
23,Centre National De La Recherche Scientifique,80,5.4405607,43.2315905
24,University Of North Carolina Chapel Hill,78,-79.0477533,35.9050353
25,NIH National Cancer Institute,72,120.9850195,14.5786359
26,Universite De Paris,69,2.3352504,48.8431477
27,Dana Farber Cancer Institute,68,-71.1076933,42.3376263
28,Northwestern University,68,-87.6758111,42.0551164
29,Utmd Anderson Cancer Center,68,2.16667,7.25
30,University Of Texas Southwestern Medical Center Dallas,67,-96.8414985,32.8115282
31,Massachusetts Institute Of Technology Mit,65,-71.096646,42.3582393
32,Mayo Clinic,65,-9.2878843,53.8554844
33,Boston Children S Hospital,64,-71.066434,42.3630554
34,University Of Toronto,63,-79.3977597,43.663462
35,University Of California Los Angeles,62,-118.4468497,34.0708781
36,Icahn School Of Medicine At Mount Sinai,60,-73.9532536,40.789793
37,Ohio State University,56,-83.0286647,40.0057091
38,Emory University,54,-84.3277896,33.7958677
